sic,knowDepr,organDepr,gamma,industry5
2590,.33,.2,.2,1
7361,.23,.2,.35,5
3360,.34,.2,.24,2
6111,.23,.2,.35,5
3260,.34,.2,.24,2
6200,.23,.2,.35,5
900,.33,.2,.2,1
5064,.33,.2,.2,1
8400,.23,.2,.35,5
5030,.33,.2,.2,1
5200,.33,.2,.2,1
3272,.34,.2,.24,2
5072,.33,.2,.2,1
3715,.34,.2,.24,2
5960,.33,.2,.2,1
5400,.33,.2,.2,1
5000,.33,.2,.2,1
3873,.34,.2,.24,2
3910,.33,.2,.2,1
2340,.33,.2,.2,1
6159,.23,.2,.35,5
5031,.33,.2,.2,1
5050,.33,.2,.2,1
2990,.34,.2,.24,2
2833,.33,.2,.5,4
2033,.33,.2,.2,1
8351,.23,.2,.35,5
2052,.33,.2,.2,1
5810,.33,.2,.2,1
7600,.33,.2,.2,1
3942,.33,.2,.2,1
2092,.33,.2,.2,1
6399,.23,.2,.35,5
5093,.33,.2,.2,1
5735,.33,.2,.2,1
4610,.23,.2,.35,5
6361,.23,.2,.35,5
6163,.23,.2,.35,5
7996,.23,.2,.35,5
3720,.34,.2,.24,2
4822,.45,.2,.45,3
7829,.23,.2,.35,5
3751,.33,.2,.2,1
8900,.23,.2,.35,5
5180,.33,.2,.2,1
6797,.23,.2,.35,5
3281,.34,.2,.24,2
8111,.23,.2,.35,5
8600,.23,.2,.35,5
6022,.23,.2,.35,5

