sic,knowDepr,organDepr,gamma,industry5
6211,.35,.2,.22,"Other"
3730,.5,.2,.21,"Manuf."
3842,.33,.2,.51,"Health"
5084,.43,.2,.2,"Consumer"
3728,.5,.2,.21,"Manuf."
3674,.42,.2,.37,"High-tech"
4813,.43,.2,.2,"Consumer"
9995,.35,.2,.22,"Other"
2890,.5,.2,.21,"Manuf."
5047,.43,.2,.2,"Consumer"
6324,.35,.2,.22,"Other"
6020,.35,.2,.22,"Other"
6552,.35,.2,.22,"Other"
4899,.42,.2,.37,"High-tech"
1040,.35,.2,.22,"Other"
6035,.35,.2,.22,"Other"
5013,.43,.2,.2,"Consumer"
2253,.43,.2,.2,"Consumer"
200,.43,.2,.2,"Consumer"
3537,.5,.2,.21,"Manuf."
4731,.35,.2,.22,"Other"
2810,.5,.2,.21,"Manuf."
4513,.35,.2,.22,"Other"
3560,.5,.2,.21,"Manuf."
2820,.5,.2,.21,"Manuf."
1220,.5,.2,.21,"Manuf."
7350,.35,.2,.22,"Other"
1600,.35,.2,.22,"Other"
3841,.33,.2,.51,"Health"
2221,.43,.2,.2,"Consumer"
2844,.5,.2,.21,"Manuf."
5411,.43,.2,.2,"Consumer"
3350,.5,.2,.21,"Manuf."
2870,.5,.2,.21,"Manuf."
5122,.43,.2,.2,"Consumer"
2273,.43,.2,.2,"Consumer"
5190,.43,.2,.2,"Consumer"
6411,.35,.2,.22,"Other"
4400,.35,.2,.22,"Other"
2836,.33,.2,.51,"Health"
3451,.5,.2,.21,"Manuf."
3312,.5,.2,.21,"Manuf."
100,.43,.2,.2,"Consumer"
3440,.5,.2,.21,"Manuf."
7000,.35,.2,.22,"Other"
6331,.35,.2,.22,"Other"
3452,.5,.2,.21,"Manuf."
2390,.43,.2,.2,"Consumer"
3576,.42,.2,.37,"High-tech"
3011,.5,.2,.21,"Manuf."
5700,.43,.2,.2,"Consumer"
3716,.43,.2,.2,"Consumer"
2040,.43,.2,.2,"Consumer"
7340,.35,.2,.22,"Other"
8082,.43,.2,.2,"Consumer"
3540,.5,.2,.21,"Manuf."
7381,.35,.2,.22,"Other"
4213,.35,.2,.22,"Other"
3310,.5,.2,.21,"Manuf."
7500,.35,.2,.22,"Other"
7311,.35,.2,.22,"Other"
4812,.43,.2,.2,"Consumer"
2080,.43,.2,.2,"Consumer"
3640,.43,.2,.2,"Consumer"
3555,.5,.2,.21,"Manuf."
6513,.35,.2,.22,"Other"
8011,.43,.2,.2,"Consumer"
2600,.5,.2,.21,"Manuf."
6722,.35,.2,.22,"Other"
2060,.43,.2,.2,"Consumer"
3334,.5,.2,.21,"Manuf."
4922,.5,.2,.21,"Manuf."
1731,.35,.2,.22,"Other"
3050,.5,.2,.21,"Manuf."
2911,.5,.2,.21,"Manuf."
7997,.35,.2,.22,"Other"
1400,.35,.2,.22,"Other"
2860,.5,.2,.21,"Manuf."
6531,.35,.2,.22,"Other"
3241,.5,.2,.21,"Manuf."
7510,.35,.2,.22,"Other"
2050,.43,.2,.2,"Consumer"
2086,.43,.2,.2,"Consumer"
2670,.5,.2,.21,"Manuf."
8060,.43,.2,.2,"Consumer"
2790,.43,.2,.2,"Consumer"
2085,.43,.2,.2,"Consumer"
6311,.35,.2,.22,"Other"
1531,.35,.2,.22,"Other"
6036,.35,.2,.22,"Other"
6153,.35,.2,.22,"Other"
3530,.5,.2,.21,"Manuf."
8050,.43,.2,.2,"Consumer"
4220,.35,.2,.22,"Other"
2800,.5,.2,.21,"Manuf."
8071,.43,.2,.2,"Consumer"
3590,.5,.2,.21,"Manuf."
2835,.33,.2,.51,"Health"
7822,.35,.2,.22,"Other"
6199,.35,.2,.22,"Other"
6321,.35,.2,.22,"Other"
3220,.5,.2,.21,"Manuf."
3080,.5,.2,.21,"Manuf."
2510,.43,.2,.2,"Consumer"
